Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
202,4,Sep 16 2017,Sat,(9) Oklahoma State,59,@,Pittsburgh,21,
203,4,Sep 16 2017,Sat,Oregon,49,@,Wyoming,13,
204,4,Sep 16 2017,Sat,(5) Penn State,56,,Georgia State,0,
205,4,Sep 16 2017,Sat,Purdue,35,@,Missouri,3,
206,4,Sep 16 2017,Sat,Rutgers,65,,Morgan State,0,
207,4,Sep 16 2017,Sat,San Diego State,20,,(19) Stanford,17,
208,4,Sep 16 2017,Sat,South Alabama,45,,Alabama A&M,0,
209,4,Sep 16 2017,Sat,(4) Southern California,27,,Texas,24,
210,4,Sep 16 2017,Sat,Southern Mississippi,28,@,Louisiana-Monroe,17,
211,4,Sep 16 2017,Sat,Syracuse,41,,Central Michigan,17,
212,4,Sep 16 2017,Sat,Texas A&M,45,,Louisiana-Lafayette,21,
213,4,Sep 16 2017,Sat,(20) Texas Christian,56,,Southern Methodist,36,
214,4,Sep 16 2017,Sat,Texas Tech,52,,Arizona State,45,
215,4,Sep 16 2017,Sat,Texas-San Antonio,51,,Southern,17,
216,4,Sep 16 2017,Sat,Toledo,54,,Tulsa,51,
217,4,Sep 16 2017,Sat,Troy,27,@,New Mexico State,24,
218,4,Sep 16 2017,Sat,Utah,54,,San Jose State,16,
219,4,Sep 16 2017,Sat,Vanderbilt,14,,(18) Kansas State,7,
220,4,Sep 16 2017,Sat,Virginia,38,,Connecticut,18,
221,4,Sep 16 2017,Sat,(16) Virginia Tech,64,@,East Carolina,17,
222,4,Sep 16 2017,Sat,Wake Forest,46,,Utah State,10,
223,4,Sep 16 2017,Sat,(6) Washington,48,,Fresno State,16,
224,4,Sep 16 2017,Sat,(21) Washington State,52,,Oregon State,23,
225,4,Sep 16 2017,Sat,West Virginia,59,,Delaware State,16,
226,4,Sep 16 2017,Sat,Western Michigan,37,,Idaho,28,
227,4,Sep 16 2017,Sat,(10) Wisconsin,40,@,Brigham Young,6,
228,5,Sep 21 2017,Thu,(21) South Florida,43,,Temple,7,
229,5,Sep 22 2017,Fri,(23) Utah,30,@,Arizona,24,
230,5,Sep 22 2017,Fri,Virginia,42,@,Boise State,23,
231,5,Sep 23 2017,Sat,(1) Alabama,59,@,Vanderbilt,0,
232,5,Sep 23 2017,Sat,Arizona State,37,,(24) Oregon,35,
233,5,Sep 23 2017,Sat,Arkansas,50,,Texas A&M,43,X
234,5,Sep 23 2017,Sat,(15) Auburn,51,@,Missouri,14,
235,5,Sep 23 2017,Sat,Buffalo,34,,Florida Atlantic,31,
236,5,Sep 23 2017,Sat,Central Florida,38,@,Maryland,10,
237,5,Sep 23 2017,Sat,(2) Clemson,34,,Boston College,7,
238,5,Sep 23 2017,Sat,Duke,27,@,North Carolina,17,
239,5,Sep 23 2017,Sat,(20) Florida,28,@,Kentucky,27,
240,5,Sep 23 2017,Sat,Florida International,13,@,Rice,7,
241,5,Sep 23 2017,Sat,(11) Georgia,31,,(17) Mississippi State,3,
242,5,Sep 23 2017,Sat,Georgia State,28,@,Charlotte,0,
243,5,Sep 23 2017,Sat,Georgia Tech,35,,Pittsburgh,17,
244,5,Sep 23 2017,Sat,Idaho,29,@,South Alabama,23,
245,5,Sep 23 2017,Sat,Indiana,52,,Georgia Southern,17,
246,5,Sep 23 2017,Sat,(25) Louisiana State,35,,Syracuse,26,
247,5,Sep 23 2017,Sat,Louisiana-Monroe,56,@,Louisiana-Lafayette,50,
248,5,Sep 23 2017,Sat,(19) Louisville,42,,Kent State,3,
249,5,Sep 23 2017,Sat,Memphis,44,,Southern Illinois,31,
250,5,Sep 23 2017,Sat,(14) Miami (FL),52,,Toledo,30,
251,5,Sep 23 2017,Sat,Miami (OH),31,@,Central Michigan,14,
252,5,Sep 23 2017,Sat,(8) Michigan,28,@,Purdue,10,
253,5,Sep 23 2017,Sat,Middle Tennessee State,24,,Bowling Green State,13,
254,5,Sep 23 2017,Sat,Navy,42,,Cincinnati,32,
255,5,Sep 23 2017,Sat,Nebraska,27,,Rutgers,17,
256,5,Sep 23 2017,Sat,New Mexico,16,@,Tulsa,13,
257,5,Sep 23 2017,Sat,New Mexico State,41,,Texas-El Paso,14,
258,5,Sep 23 2017,Sat,North Carolina State,27,@,(12) Florida State,21,
259,5,Sep 23 2017,Sat,North Texas,46,,Alabama-Birmingham,43,
260,5,Sep 23 2017,Sat,Notre Dame,38,@,Michigan State,18,
261,5,Sep 23 2017,Sat,Ohio,27,@,Eastern Michigan,20,
262,5,Sep 23 2017,Sat,(10) Ohio State,54,,Nevada-Las Vegas,21,
263,5,Sep 23 2017,Sat,(3) Oklahoma,49,@,Baylor,41,
264,5,Sep 23 2017,Sat,(4) Penn State,21,@,Iowa,19,
265,5,Sep 23 2017,Sat,(22) San Diego State,28,@,Air Force,24,
266,5,Sep 23 2017,Sat,South Carolina,17,,Louisiana Tech,16,
267,5,Sep 23 2017,Sat,(5) Southern California,30,@,California,20,
268,5,Sep 23 2017,Sat,Southern Methodist,44,,Arkansas State,21,
269,5,Sep 23 2017,Sat,Stanford,58,,UCLA,34,
270,5,Sep 23 2017,Sat,Tennessee,17,,Massachusetts,13,
271,5,Sep 23 2017,Sat,(16) Texas Christian,44,@,(6) Oklahoma State,31,
272,5,Sep 23 2017,Sat,Texas Tech,27,@,Houston,24,
273,5,Sep 23 2017,Sat,Texas-San Antonio,44,@,Texas State,14,
274,5,Sep 23 2017,Sat,Troy,22,,Akron,17,
275,5,Sep 23 2017,Sat,Tulane,21,,Army,17,
276,5,Sep 23 2017,Sat,Utah State,61,@,San Jose State,10,
277,5,Sep 23 2017,Sat,(13) Virginia Tech,38,,Old Dominion,0,
278,5,Sep 23 2017,Sat,Wake Forest,20,@,Appalachian State,19,
279,5,Sep 23 2017,Sat,(7) Washington,37,@,Colorado,10,
280,5,Sep 23 2017,Sat,(18) Washington State,45,,Nevada,7,
281,5,Sep 23 2017,Sat,West Virginia,56,@,Kansas,34,
282,5,Sep 23 2017,Sat,Western Illinois,52,@,Coastal Carolina,10,
283,5,Sep 23 2017,Sat,Western Kentucky,33,,Ball State,21,
284,5,Sep 23 2017,Sat,Western Michigan,49,,Wagner,14,
285,5,Sep 23 2017,Sat,Wyoming,28,,Hawaii,21,
286,6,Sep 28 2017,Thu,Texas,17,@,Iowa State,7,
287,6,Sep 29 2017,Fri,(14) Miami (FL),31,@,Duke,6,
288,6,Sep 29 2017,Fri,Nebraska,28,@,Illinois,6,
289,6,Sep 29 2017,Fri,Utah State,40,,Brigham Young,24,
290,6,Sep 29 2017,Fri,(16) Washington State,30,,(5) Southern California,27,
291,6,Sep 30 2017,Sat,Akron,34,@,Bowling Green State,23,
292,6,Sep 30 2017,Sat,(1) Alabama,66,,Mississippi,3,
293,6,Sep 30 2017,Sat,Arkansas,42,,New Mexico State,24,
294,6,Sep 30 2017,Sat,Army,35,,Texas-El Paso,21,
295,6,Sep 30 2017,Sat,(13) Auburn,49,,(24) Mississippi State,10,
296,6,Sep 30 2017,Sat,Boston College,28,,Central Michigan,8,
297,6,Sep 30 2017,Sat,Buffalo,27,@,Kent State,13,
298,6,Sep 30 2017,Sat,Central Florida,40,,Memphis,13,
299,6,Sep 30 2017,Sat,(2) Clemson,31,@,(12) Virginia Tech,17,
300,6,Sep 30 2017,Sat,Colorado State,51,@,Hawaii,21,
301,6,Sep 30 2017,Sat,(21) Florida,38,,Vanderbilt,24,
302,6,Sep 30 2017,Sat,Florida Atlantic,38,,Middle Tennessee State,20,
303,6,Sep 30 2017,Sat,Florida International,30,,Charlotte,29,
304,6,Sep 30 2017,Sat,Florida State,26,@,Wake Forest,19,
