"","V1","V2","V3","V4","V5","V6"
"202","Iowa State","Baylor","41","5"," A 34 A -6 H 14 A 3"," H -41 A 17 H -16 A 6"
"203","Louisville","Memphis","17","5"," H 10 H 24 A -5"," H 5 A -19 A 21"
"204","Marshall","Bowling Green State","6","5"," A -20 H 17 A -21 A -6 H 24"," H 35 A -5 H 17 H -3 A -17"
"205","Maryland","West Virginia","12","5","",""
"206","Ball State","Miami (OH)","-8","5","",""
"207","Michigan","Illinois","25","5"," A -20 H 14 H 21 A -3"," H 5 A -25 H 11 H 7"
"208","Louisiana-Lafayette","Middle Tennessee State","-17","5"," A 6 H 5 A 25 H -3"," H 48 A -18 A 3 H 4"
"209","Kentucky","Mississippi","-11","5"," H -4 A 14 A 3"," A -11 H -20 A 8"
"210","Missouri","Nebraska","-33","5"," H -6 A -4 H 17 A 21"," H 34 A -44 A -41 H 10"
"211","Louisiana-Monroe","New Mexico State","-31","5"," H -18 H 2 A 5 A 4 A -9"," A 4 H -2 A -3 H 7 H 11"
"212","North Carolina State","North Carolina","-8","5"," A -3 H -8 A 10 H 24 A -24 A -6 H -4"," H -1 A -35 A 7 H 6 H 35 H 32 A 16"
"213","Northwestern","Michigan State","1","5"," H 6 H -3 A 5 A 35 H -43"," A 9 H -5 A 10 H -9 H 3"
"214","Indiana","Ohio State","-13","5"," A -31 H -21 H 35 A 14 H 6"," H -3 H -12 H 18 A 2 H 26"
"215","Oklahoma","Kansas State","1","5"," A -28 A 10 H 21 A -17"," H 34 A 10 H -7 A 19"
"216","Oklahoma State","Northwestern State","24","5","",""
"217","Utah State","Oregon","-17","5"," A 4"," H 14"
"218","Minnesota","Purdue","-7","5"," A 11 A 6 H 9 H -3 A 21 A 18"," H -25 H 5 H 10 A 26 A 14 H 9"
"219","Hawaii","Rice","-3","5"," A 8 H 59 A -21 H 4 H -7"," H 3 H 10 H 27 A 28 H 31"
"220","South Carolina","Alabama","1","5"," A -2 H 32 A 7"," H 7 A -3 H -11"
"221","South Florida","North Texas","18","5","",""
"222","Southern Mississippi","Alabama-Birmingham","3","5"," A 5 H 44 H 53"," A -3 A -22 H 7"
"223","Southern California","Stanford","-5","5"," A 2 A 3 H 31 A 11 A -7 A -41"," A -7 A 14 H 23 H 4 A -14 H 7"
"224","Syracuse","East Carolina","14","5","",""
"225","Tennessee","Louisiana State","8","5"," A -10 A -11 A -3"," H 3 A -14 A -4"
"226","Texas","Texas Tech","35","5"," A -28 A -39 H 59"," A -19 A -44 H -3"
"227","Texas A&amp;M","Notre Dame","21","5","",""
"228","Houston","Texas Christian","-17","5"," A 14 A 24 H -22"," H 18 H 15 A 21"
"229","Texas-El Paso","Tulsa","16","5"," A 25 A 59 H -12 A 26 A 10"," A 31 H -21 A 36 H -10 A 27"
"230","Toledo","Northern Illinois","21","5"," A -24 A 4 H 6 H 21"," A -9 H 4 H 8 H 23"
"231","Tulane","Southern","34","5","",""
"232","Oregon State","UCLA","-31","5"," A 7 H 9 A 3 H 25"," A 6 H 39 A 27 H 22"
"233","Utah","New Mexico","21","5"," H 35 A 2 A -28 H 14 A 3"," A -1 H -7 H 10 A -5 H -4"
"234","Virginia","Duke","21","5"," A 20 A 6 H -36 A 24 H -4 H 1"," A 42 A 35 H -42 H -24 H -7 H -27"
"235","Virginia Tech","Central Florida","32","5"," H -8"," A 11"
"236","California","Washington","-3","5"," A 31 A 39 A 9 H -14 H -41 A 7"," H 12 A 22 A 25 H 3 H 3 H 14"
"237","Arizona","Washington State","-27","5"," H 7 H -35 A 35 A -14 H -14"," H 29 H -7 H 7 H 31 A -6"
"238","Eastern Michigan","Western Michigan","-21","5"," A 23 A 5 A 21"," A 8 H 3 A 6"
"239","Wisconsin","Western Kentucky","18","5","",""
"240","0","0","0","0","0","0"
"241","Louisville","Colorado State","5","6","",""
"242","Brigham Young","Utah State","20","6"," A -7 H 3"," H -1 A 4"
"243","0","0","0","0","0","0"
"244","0","0","0","0","0","0"
"245","Arizona State","Louisiana-Lafayette","36","6","",""
"246","Arkansas","Weber State","23","6","",""
"247","Army","Houston","14","6"," H -3 A 52 A 18"," H -1 H -22 H -17"
"248","Auburn","Mississippi State","2","6"," H 6 H 3 A 25 H -24"," H 8 A 52 A 3 A 7"
"249","Boston College","Temple","13","6"," H 24 A -17 A 14 H 38 H -11 A -31"," A -3 H 19 H -35 H -26 A 38 H 25"
"250","Bowling Green State","Kent State","17","6"," H 35 A 6 A -5 A -17"," H 22 H -21 A 4 A -10"
"251","Central Florida","Alabama-Birmingham","17","6"," A -7"," H 7"
"252","Cincinnati","Tulane","13","6"," A -3 A -14 H -15 H -2"," A 7 A 7 H -45 H -27"
"253","Kansas State","Colorado","-10","6"," H -7 H 34 A -39"," H 10 H 11 A -13"
"254","Connecticut","Eastern Michigan","19","6"," H -17 H -5"," H 4 H -21"
"255","Louisiana State","Florida","-29","6"," A -4 A -42"," A -34 H 52"
"256","Tennessee","Georgia","-2","6"," A -10 H 7 A -3 H 38"," H 11 H -5 H 14 A -16"
"257","Duke","Georgia Tech","-27","6"," A 21 H -7 A 42 H -24 A 35"," A 1 A -5 H -3 H 10 H 7"
"258","Southern Methodist","Hawaii","-7","6"," A -7 H 26 A 21 H -25 A -10 H 17"," H 24 H 59 A 8 H 4 A -21 H -3"
"259","Illinois","Minnesota","11","6"," A 25 A -25 A -12"," A 21 H -7 H -3"
"260","Wisconsin","Indiana","-31","6"," A -12 A -3 A 7 H -14 H 6"," A 14 H -13 H -21 A -9 A 14"
"261","Texas Tech","Kansas","-3","6"," A 35 H 19 A 10 H -17"," A 59 A 34 H -44 H -28"
"262","Louisiana Tech","San Jose State","21","6"," A 10 A -3 H 6 A -23"," A 19 H 19 A 50 A -12"
"263","Louisiana-Monroe","North Texas","2","6"," H -18 H -31 A 5 A 4 A -9"," H 3 A -2 H 25 A -23 H 45"
"264","Northern Illinois","Marshall","-22","6"," A 10 A -9"," A -21 H 21"
"265","Maryland","Virginia","20","6"," H 16 A -7 A -3 H 42 A 21 H 17"," A 6 H -4 H 1 H 21 H -36 A -2"
"266","Memphis","Southern Mississippi","5","6"," A 17 A -19 A 21 H -3"," A 10 H 44 A -7 H 3"
"267","Miami (FL)","Troy","31","6","",""
"268","Miami (OH)","Buffalo","17","6"," A -12 A -3 H -6"," H 44 A 35 H -20"
"269","Penn State","Michigan","-20","6"," H -12 A 6 A 5 A -5"," A -3 A -6 H 25 A 2"
"270","Middle Tennessee State","Idaho","12","6"," A -18 A 3 H 4 H 48"," H 4 H -23 A 7 A 3"
"271","Arkansas State","Mississippi","-18","6"," A 28 A 48"," H -20 H 28"
"272","Oklahoma State","Missouri","-3","6"," H -28 A 14 H -3 A -16"," H -19 H -6 A 14 H 17"
"273","Nebraska","Iowa State","34","6"," A -33 A -41 A -44 H 10"," A -6 H 41 A -42 H -39"
"274","Nevada","Nevada-Las Vegas","-15","6"," A 45 A 17"," H -4 H -2"
"275","Wyoming","New Mexico","-1","6"," H -28 A 11 A 35 H -21 H -7 A 22"," H -7 H 19 A 21 H 10 H -4 A -5"
"276","Tulsa","New Mexico State","-17","6","",""
"277","North Carolina","East Carolina","3","6"," H -1"," H -2"
"278","Wake Forest","North Carolina State","-3","6"," H -7 A 24 A -7 H -7 A -4 A -1 H -5"," H -4 A -6 A -24 H -8 H 24 H -8 A 10"
"279","Notre Dame","Pittsburgh","17","6"," H 10 A 4"," A -6 A 38"
"280","Ohio State","Northwestern","18","6"," A -13 A 2 A -3 H 26"," A 35 H -3 H 6 A 5"
"281","0","0","0","0","0","0"
"282","Arizona","Oregon","-35","6"," H -27 H -7 A -14 H -14"," A -7 H 2 A -41 H -7"
"283","Purdue","Iowa","9","6"," A -7 A 14 H 5 H 10 A 6"," H 18 H -6 A -43 A 3 H 14"
"284","Rice","Boise State","31","6"," A -3 H 3 A 3 A 28 H 27 H 10"," A -7 H 42 A 6 A -5 H 31 H 25"
"285","San Diego State","Eastern Illinois","33","6","",""
