Rk,Wk,Date,Time,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
288,5,Sep 24 2016,12:00 PM,(11) Wisconsin,30,@,(8) Michigan State,6,
289,6,Sep 29 2016,8:00 PM,(6) Houston,42,,Connecticut,14,
290,6,Sep 29 2016,8:30 PM,Texas Tech,55,,Kansas,19,
291,6,Sep 30 2016,10:15 PM,Brigham Young,55,,Toledo,53,
292,6,Sep 30 2016,9:00 PM,(10) Washington,44,,(7) Stanford,6,
293,6,Oct 1 2016,3:30 PM,Air Force,28,,Navy,14,
294,6,Oct 1 2016,3:30 PM,Akron,31,@,Kent State,27,
295,6,Oct 1 2016,7:00 PM,(1) Alabama,34,,Kentucky,6,
296,6,Oct 1 2016,12:00 PM,Appalachian State,17,,Georgia State,3,
297,6,Oct 1 2016,12:00 PM,(20) Arkansas,52,,Alcorn State,10,
298,6,Oct 1 2016,3:30 PM,Auburn,58,,Louisiana-Monroe,7,
299,6,Oct 1 2016,12:00 PM,(13) Baylor,45,@,Iowa State,42,
300,6,Oct 1 2016,10:15 PM,(24) Boise State,21,,Utah State,10,
301,6,Oct 1 2016,1:00 PM,Boston College,35,,Buffalo,3,
302,6,Oct 1 2016,6:00 PM,California,28,,(18) Utah,23,
303,6,Oct 1 2016,12:00 PM,Central Florida,47,@,East Carolina,29,
304,6,Oct 1 2016,8:00 PM,(5) Clemson,42,,(3) Louisville,36,
305,6,Oct 1 2016,2:30 PM,Colorado,47,,Oregon State,6,
306,6,Oct 1 2016,3:00 PM,Eastern Michigan,28,@,Bowling Green State,25,
307,6,Oct 1 2016,12:00 PM,(23) Florida,13,@,Vanderbilt,6,
308,6,Oct 1 2016,7:00 PM,Florida International,33,,Florida Atlantic,31,
309,6,Oct 1 2016,11:59 PM,Hawaii,38,,Nevada,17,
310,6,Oct 1 2016,8:00 PM,Indiana,24,,(17) Michigan State,21,
311,6,Oct 1 2016,7:30 PM,Louisiana State,42,,Missouri,7,
312,6,Oct 1 2016,7:00 PM,Louisiana Tech,28,,Texas-El Paso,7,
313,6,Oct 1 2016,3:30 PM,Maryland,50,,Purdue,7,
314,6,Oct 1 2016,12:00 PM,(14) Miami (FL),35,@,Georgia Tech,21,
315,6,Oct 1 2016,3:30 PM,(4) Michigan,14,,(8) Wisconsin,7,
316,6,Oct 1 2016,7:00 PM,Middle Tennessee State,30,@,North Texas,13,
317,6,Oct 1 2016,7:00 PM,(16) Mississippi,48,,Memphis,28,
318,6,Oct 1 2016,3:30 PM,(15) Nebraska,31,,Illinois,16,
319,6,Oct 1 2016,10:30 PM,Nevada-Las Vegas,45,,Fresno State,20,
320,6,Oct 1 2016,4:00 PM,New Mexico,48,,San Jose State,41,
321,6,Oct 1 2016,8:00 PM,New Mexico State,37,,Louisiana-Lafayette,31,
322,6,Oct 1 2016,3:30 PM,North Carolina,37,@,(12) Florida State,35,
323,6,Oct 1 2016,3:30 PM,North Carolina State,33,,Wake Forest,16,
324,6,Oct 1 2016,3:30 PM,Northern Illinois,31,@,Ball State,24,
325,6,Oct 1 2016,12:00 PM,Northwestern,38,@,Iowa,31,
326,6,Oct 1 2016,12:00 PM,Notre Dame,50,,Syracuse,33,x
327,6,Oct 1 2016,2:30 PM,Ohio,17,@,Miami (OH),7,
328,6,Oct 1 2016,12:00 PM,(2) Ohio State,58,,Rutgers,0,
329,6,Oct 1 2016,5:00 PM,Oklahoma,52,@,(21) Texas Christian,46,
330,6,Oct 1 2016,12:00 PM,Oklahoma State,49,,(22) Texas,31,
331,6,Oct 1 2016,6:00 PM,Old Dominion,52,@,Charlotte,17,
332,6,Oct 1 2016,3:30 PM,Penn State,29,,Minnesota,26,
333,6,Oct 1 2016,7:30 PM,Pittsburgh,43,,Marshall,27,
334,6,Oct 1 2016,8:00 PM,South Alabama,42,,(19) San Diego State,24,
335,6,Oct 1 2016,7:00 PM,South Florida,45,@,Cincinnati,20,
336,6,Oct 1 2016,8:30 PM,Southern California,41,,Arizona State,20,
337,6,Oct 1 2016,7:00 PM,Southern Mississippi,44,,Rice,28,
338,6,Oct 1 2016,12:00 PM,Temple,45,,Southern Methodist,20,
339,6,Oct 1 2016,3:30 PM,(11) Tennessee,34,@,(25) Georgia,31,
340,6,Oct 1 2016,4:00 PM,(9) Texas A&amp;M,24,@,South Carolina,13,
341,6,Oct 1 2016,7:30 PM,Texas State,48,,Incarnate Word,17,
342,6,Oct 1 2016,5:00 PM,Troy,34,@,Idaho,13,
343,6,Oct 1 2016,3:30 PM,Tulane,31,@,Massachusetts,24,
344,6,Oct 1 2016,10:30 PM,UCLA,45,,Arizona,24,
