Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes,,
193,4,Sep 15 2018,Sat,Iowa,38,,Northern Iowa,14,,,
194,4,Sep 15 2018,Sat,Kansas,55,,Rutgers,14,,,
195,4,Sep 15 2018,Sat,Kansas State,41,,Texas-San Antonio,17,,,
196,4,Sep 15 2018,Sat,Kentucky,48,,Murray State,10,,,
197,4,Sep 15 2018,Sat,(11) Louisiana State,22,@,(7) Auburn,21,,,
198,4,Sep 15 2018,Sat,Louisville,20,,Western Kentucky,17,,,
199,4,Sep 15 2018,Sat,(22) Miami (FL),49,@,Toledo,24,,,
200,4,Sep 15 2018,Sat,(21) Michigan,45,,Southern Methodist,20,,,
201,4,Sep 15 2018,Sat,Minnesota,26,,Miami (OH),3,,,
202,4,Sep 15 2018,Sat,(18) Mississippi State,56,,Louisiana,10,,,
203,4,Sep 15 2018,Sat,Missouri,40,@,Purdue,37,,,
204,4,Sep 15 2018,Sat,Navy,51,,Lehigh,21,,,
205,4,Sep 15 2018,Sat,Nevada,37,,Oregon State,35,,,
206,4,Sep 15 2018,Sat,Nevada-Las Vegas,46,,Prairie View A&M,17,,,
207,4,Sep 15 2018,Sat,New Mexico,42,@,New Mexico State,25,,,
208,4,Sep 15 2018,Sat,North Texas,44,@,Arkansas,17,,,
209,4,Sep 15 2018,Sat,Northern Illinois,24,,Central Michigan,16,,,
210,4,Sep 15 2018,Sat,(8) Notre Dame,22,,Vanderbilt,17,,,
211,4,Sep 15 2018,Sat,(4) Ohio State,40,,(16) Texas Christian,28,X,,
212,4,Sep 15 2018,Sat,(6) Oklahoma,37,@,Iowa State,27,,,
213,4,Sep 15 2018,Sat,Oklahoma State,44,,(20) Boise State,21,,,
214,4,Sep 15 2018,Sat,(23) Oregon,35,,San Jose State,22,,,
215,4,Sep 15 2018,Sat,(13) Penn State,63,,Kent State,10,,,
216,4,Sep 15 2018,Sat,Pittsburgh,24,,Georgia Tech,19,,,
217,4,Sep 15 2018,Sat,San Diego State,28,,Arizona State,21,,,
218,4,Sep 15 2018,Sat,South Alabama,41,,Texas State,31,,,
219,4,Sep 15 2018,Sat,South Florida,25,,Illinois,19,X,,
220,4,Sep 15 2018,Sat,(10) Stanford,30,,California-Davis,10,,,
221,4,Sep 15 2018,Sat,Syracuse,30,,Florida State,7,,,
222,4,Sep 15 2018,Sat,Temple,35,@,Maryland,14,,,
223,4,Sep 15 2018,Sat,Tennessee,24,,Texas-El Paso,0,,,
224,4,Sep 15 2018,Sat,Texas,37,,(17) Southern California,14,,,
225,4,Sep 15 2018,Sat,Texas A&M,48,,Louisiana-Monroe,10,,,
226,4,Sep 15 2018,Sat,Texas Tech,63,,Houston,49,,,
227,4,Sep 15 2018,Sat,Troy,24,@,Nebraska,19,,,
228,4,Sep 15 2018,Sat,Virginia,45,,Ohio,31,,,
229,4,Sep 15 2018,Sat,(9) Washington,21,@,Utah,7,,,
230,4,Sep 15 2018,Sat,Washington State,59,,Eastern Washington,24,,,
231,4,Sep 15 2018,Sat,Western Michigan,68,,Delaware State,0,,,
232,4,Sep 15 2018,Sat,Wyoming,17,,Wofford,14,,,
233,5,Sep 20 2018,Thu,Temple,31,,Tulsa,17,,,
234,5,Sep 21 2018,Fri,(16) Central Florida,56,,Florida Atlantic,36,,,
235,5,Sep 21 2018,Fri,(10) Penn State,63,@,Illinois,24,,,
236,5,Sep 21 2018,Fri,Southern California,39,,Washington State,36,,,
237,5,Sep 22 2018,Sat,(1) Alabama,45,,(22) Texas A&M,23,,,
238,5,Sep 22 2018,Sat,Appalachian State,72,,Gardner-Webb,7,,,
239,5,Sep 22 2018,Sat,Arizona,35,@,Oregon State,14,,,
240,5,Sep 22 2018,Sat,Arkansas State,27,,Nevada-Las Vegas,20,,,
241,5,Sep 22 2018,Sat,(9) Auburn,34,,Arkansas,3,,,
242,5,Sep 22 2018,Sat,Baylor,26,,Kansas,7,,,
243,5,Sep 22 2018,Sat,(25) Brigham Young,30,,McNeese State,3,,,
244,5,Sep 22 2018,Sat,Buffalo,42,@,Rutgers,13,,,
245,5,Sep 22 2018,Sat,Central Michigan,17,,Maine,5,,,
246,5,Sep 22 2018,Sat,Cincinnati,34,,Ohio,30,,,
247,5,Sep 22 2018,Sat,(3) Clemson,49,@,Georgia Tech,21,,,
248,5,Sep 22 2018,Sat,Coastal Carolina,30,@,Louisiana,28,,,
249,5,Sep 22 2018,Sat,Duke,55,,North Carolina Central,13,,,
250,5,Sep 22 2018,Sat,Florida,47,@,Tennessee,21,,,
251,5,Sep 22 2018,Sat,Florida State,37,,Northern Illinois,19,,,
252,5,Sep 22 2018,Sat,(2) Georgia,43,@,Missouri,29,,,
253,5,Sep 22 2018,Sat,Hawaii,42,,Duquesne,21,,,
254,5,Sep 22 2018,Sat,Houston,70,,Texas Southern,14,,,
255,5,Sep 22 2018,Sat,Illinois State,35,@,Colorado State,19,,,
256,5,Sep 22 2018,Sat,Iowa State,26,,Akron,13,,,
257,5,Sep 22 2018,Sat,Kentucky,28,,(14) Mississippi State,7,,,
258,5,Sep 22 2018,Sat,(6) Louisiana State,38,,Louisiana Tech,21,,,
259,5,Sep 22 2018,Sat,Maryland,42,,Minnesota,13,,,
260,5,Sep 22 2018,Sat,Massachusetts,49,,Charlotte,31,,,
261,5,Sep 22 2018,Sat,Memphis,52,,South Alabama,35,,,
262,5,Sep 22 2018,Sat,(21) Miami (FL),31,,Florida International,17,,,
263,5,Sep 22 2018,Sat,Miami (OH),38,@,Bowling Green State,23,,,
264,5,Sep 22 2018,Sat,(19) Michigan,56,,Nebraska,10,,,
265,5,Sep 22 2018,Sat,(24) Michigan State,35,@,Indiana,21,,,
266,5,Sep 22 2018,Sat,Mississippi,38,,Kent State,17,,,
267,5,Sep 22 2018,Sat,New Mexico State,27,@,Texas-El Paso,20,,,
268,5,Sep 22 2018,Sat,North Carolina,38,,Pittsburgh,35,,,
269,5,Sep 22 2018,Sat,North Carolina State,37,@,Marshall,20,,,
270,5,Sep 22 2018,Sat,North Texas,47,@,Liberty,7,,,
271,5,Sep 22 2018,Sat,(8) Notre Dame,56,@,Wake Forest,27,,,
272,5,Sep 22 2018,Sat,(4) Ohio State,49,,Tulane,6,,,
273,5,Sep 22 2018,Sat,(5) Oklahoma,28,,Army,21,,,
